2024-12-29 14:35:33 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:33 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:33 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:33 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:35 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:35 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:35 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:35 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:35 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:35 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-29 14:35:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 10:08:38 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:24:13 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-12-30 01:38:10 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-12-30 01:38:14 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1196376478
2024-12-30 01:38:19 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-12-30 01:38:24 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:39:19 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:39:22 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:39:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:39:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:39:51 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:39:55 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:40:05 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:40:15 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:40:17 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:40:22 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 1196376478
2024-12-30 01:40:25 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-12-30 01:40:27 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5198650906
2024-12-30 01:40:30 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:40:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:40:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-12-30 01:51:18 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1196376478
