2024-08-07 17:01:00 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /start from 1196376478
2024-08-07 17:01:11 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-08-07 17:01:19 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-08-07 17:02:05 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5298169204
2024-08-07 17:02:11 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:02:24 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:02:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:02:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:02:40 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:02:52 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:02:52 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-08-07 17:03:03 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:06 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:06 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:10 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1196376478
2024-08-07 17:03:16 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5298169204
2024-08-07 17:03:17 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:18 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:20 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:22 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:37 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:39 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:42 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:49 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:03:55 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:04:00 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:04:05 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:04:17 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:04:23 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:05:07 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:05:18 DEBUG MessageConsumerServiceImpl:40 - -=-=-| Received file-message
2024-08-07 17:05:39 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:05:41 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:05:48 DEBUG MessageConsumerServiceImpl:40 - -=-=-| Received file-message
2024-08-07 17:05:49 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:05:57 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:06:07 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 5298169204
2024-08-07 17:06:12 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5298169204
2024-08-07 17:06:15 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:06:25 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:06:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:06:47 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:06:56 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:07:02 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 5298169204
2024-08-07 17:07:04 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5298169204
2024-08-07 17:07:21 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5298169204
2024-08-07 17:07:57 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 6580660854
2024-08-07 17:08:18 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:08:30 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 6580660854
2024-08-07 17:08:38 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5298169204
2024-08-07 17:08:41 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:08:50 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:09:06 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:09:16 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-08-07 17:09:22 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 6580660854
2024-08-07 17:09:26 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5298169204
2024-08-07 17:09:28 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:09:30 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:09:32 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:09:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:09:39 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:09:43 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:09:47 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 5298169204
2024-08-07 17:10:20 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-08-07 17:10:25 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 17:11:21 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1196376478
2024-08-07 17:12:00 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 1196376478
